"Maakunta","Kunta","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","dummy"
"Koko maa","Koko maa","1528744","1507104","1496762","1485599","1467679","1474482","1459573","1434859","1404357","1425249","1395266","1393809","1399355","1380209","1362192","."
"Etelä-Karjala","Imatra","6690","5947","6558","6511","6094","6235","6415","6443","6515","6697","5266","5317","5337","5343","5433","."
"Etelä-Karjala","Lappeenranta","11336","10972","11147","11178","11309","10757","10802","10769","11668","10907","14307","15532","15775","15945","14727","."
"Etelä-Karjala","Lemi","2367","2367","2372","2309","2397","2273","2399","2263","2479","2118","2246","2216","2590","2562","2246","."
"Etelä-Karjala","Luumäki","2575","3083","2948","2953","2966","3033","2998","2928","2999","3023","2982","3031","2994","3027","2799","."
"Etelä-Karjala","Parikkala","2151","2122","2109","2113","2113","2075","3831","3696","3685","3818","3688","3697","3695","3698","3417","."
"Etelä-Karjala","Rautjärvi","3765","3765","3418","2905","3143","3439","3420","3237","2608","2694","2965","2940","2919","2900","2639","."
"Etelä-Karjala","Ruokolahti","2948","2938","2931","3050","3115","3115","2815","3001","2800","2780","2735","2635","2635","2379","2103","."
"Etelä-Karjala","Savitaipale","1544","1526","1522","1640","1742","1760","1782","1814","1771","1760","1749","1746","1763","1765","1573","."
"Etelä-Karjala","Taipalsaari","2566","2568","2452","2597","2644","2554","2630","2664","2661","2730","2234","2251","2425","2432","2372","."
"Etelä-Pohjanmaa","Alajärvi","2602","2826","2858","2756","2748","2898","2917","2710","2619","2638","4037","4147","4080","4132","4058","."
"Etelä-Pohjanmaa","Alavus","2980","2748","2878","2877","2899","3102","2823","3069","3029","3133","3002","3026","3208","3096","4782","."
"Etelä-Pohjanmaa","Evijärvi","1550","1548","1509","1525","1523","1576","1504","1506","1541","1816","1767","1763","1660","1704","1743","."
"Etelä-Pohjanmaa","Ilmajoki","3863","3599","3329","3308","3284","3313","3100","3032","3097","3107","1795","1785","2945","2733","2712","."
"Etelä-Pohjanmaa","Isojoki","1474","1438","1473","1442","1392","1512","1478","1364","1456","1479","1440","1576","1645","1715","1687","."
"Etelä-Pohjanmaa","Jalasjärvi","2948","2875","2826","2887","2985","2916","2778","2735","2682","2886","2844","2962","2686","2943","2980","."
"Etelä-Pohjanmaa","Karijoki","1375","1354","1315","1361","1250","1352","1250","1250","1250","1250","1356","1356","1422","1422","1398","."
"Etelä-Pohjanmaa","Kauhajoki","3133","3619","3579","3276","3565","3609","3489","3498","3464","3446","3425","3365","3139","3249","3228","."
"Etelä-Pohjanmaa","Kauhava","2561","2645","2543","2605","2496","2542","2460","2468","2507","2238","8074","8330","8112","7830","7001","."
"Etelä-Pohjanmaa","Kuortane","1905","1907","1888","1770","1642","1671","1652","1620","1646","1745","1758","1757","1839","1820","1970","."
"Etelä-Pohjanmaa","Kurikka","2856","2801","2655","2548","2532","2619","2642","2657","2618","2595","4651","5013","5343","5404","5194","."
"Etelä-Pohjanmaa","Lappajärvi","2415","2385","2442","2245","2539","2412","2525","2548","2527","2457","2477","2370","2374","2206","2645","."
"Etelä-Pohjanmaa","Lapua","4304","3795","3479","3723","4080","3838","3581","3370","3904","3961","3865","3828","3937","4023","3819","."
"Etelä-Pohjanmaa","Seinäjoki","5127","4790","4553","4528","4492","4460","6458","6409","6241","5469","12858","12736","12729","12247","12905","."
"Etelä-Pohjanmaa","Soini","2919","3012","2856","2814","2912","2256","2184","2156","2114","2123","2174","2142","2016","2049","2077","."
"Etelä-Pohjanmaa","Teuva","1846","1847","1820","1778","1809","2476","2458","2361","2321","2560","2565","2666","2709","2317","2530","."
"Etelä-Pohjanmaa","Vimpeli","1927","1922","1907","1900","1813","1754","1926","1825","1889","1808","1783","1857","1797","1769","1776","."
"Etelä-Pohjanmaa","Ähtäri","3935","4403","4189","3902","4023","3936","3376","3487","3373","3215","2803","2490","2616","2596","2633","."
"Etelä-Savo","Heinävesi","3272","3280","3468","3511","3213","3090","2940","2979","2958","3065","2735","3400","2780","2451","2270","."
"Etelä-Savo","Joroinen+Juva+Rantasalmi","2988","3007","2656","2625","2622","2632","2174","2349","2221","9309","9212","9112","8392","8800","9009","."
"Etelä-Savo","Kangasniemi","2742","2545","2840","2667","2851","2794","2641","2690","2751","2794","2476","2676","2352","2768","2735","."
"Etelä-Savo","Mikkeli+Pertunm.+Puum.+Hirvens.","7813","7537","13912","13656","13220","15870","18127","20039","20600","20411","20773","20167","19236","19458","22951","."
"Etelä-Savo","Mäntyharju","2596","2512","2362","2289","2440","2365","2335","1957","2088","2017","2016","2009","2012","1996","2007","."
"Etelä-Savo","Pieksämäki","2009","1993","1971","1967","2002","2016","2023","2065","7705","7703","7315","7371","7351","7142","7268","."
"Etelä-Savo","Savonlinna","7800","5974","6100","6164","6066","6142","5867","5801","5716","6041","7463","6306","5522","5467","8930","."
"Etelä-Savo","Sulkava","2292","2360","2740","2710","2760","2736","2722","2698","2396","2459","2436","2478","2482","2916","2898","."
