"Maakunta","Kunta","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","dummy"
"Koko maa","Koko maa","1865990","1916831","1939978","1934252","1890317","1905522","1875527","1904720","1962527","2124126","2100606","2136630","2200672","1975260","1894859","."
"Etelä-Karjala","Savitaipale","1633","1574","1710","1434","1733","1779","1747","1713","1716","2145","2171","2118","2163","2037","1835","."
"Etelä-Karjala","Lappeenranta","13807","15806","16009","15965","16844","16366","12567","15871","19276","24041","28107","30119","28713","26433","23079","."
"Etelä-Karjala","Taipalsaari","1875","1960","1742","2136","2263","2190","2300","2778","3384","2869","3106","2692","3044","2409","2973","."
"Etelä-Karjala","Luumäki","1697","1829","2264","1853","1816","2010","2048","2167","2071","2245","2293","2484","4097","4142","2099","."
"Etelä-Karjala","Imatra","7089","5149","8705","8671","7973","8069","7349","7378","7172","8224","7469","7335","7449","6544","6918","."
"Etelä-Karjala","Lemi","1247","1258","1400","1263","1227","1296","1142","1418","1099","1421","1397","1878","1803","1596","1524","."
"Etelä-Karjala","Rautjärvi","1819","1976","2122","1644","1825","1990","1618","2158","2146","1983","2221","2068","1870","1746","1578","."
"Etelä-Karjala","Ruokolahti","1847","1561","2090","1999","2055","2094","1972","1719","2092","1682","1826","1792","1911","1683","1552","."
"Etelä-Karjala","Parikkala","1313","1215","1397","1205","1137","1273","2210","2451","2218","2759","2730","2949","3003","2400","2783","."
"Etelä-Pohjanmaa","Seinäjoki","14757","16440","15501","11960","12374","11860","13396","14120","13072","13950","25585","25366","27151","26014","26243","."
"Etelä-Pohjanmaa","Kauhajoki","5715","6329","8189","8799","6720","7899","7676","7380","6611","7430","6507","5381","6337","6210","5374","."
"Etelä-Pohjanmaa","Alajärvi","2718","2777","3363","2979","3939","3940","3694","3345","3903","3387","4754","5023","4848","4677","3283","."
"Etelä-Pohjanmaa","Evijärvi","1341","1173","1384","1689","1700","1696","1804","1932","1847","1741","2060","2281","2217","2442","2310","."
"Etelä-Pohjanmaa","Soini","1301","1364","1246","1510","1609","1730","1697","1617","1417","1320","1208","1424","1443","1406","1366","."
"Etelä-Pohjanmaa","Kauhava","2530","2818","2884","2457","3384","3310","3510","2929","3098","3294","7725","7745","7551","6510","7228","."
"Etelä-Pohjanmaa","Lapua","5142","6389","5752","6119","5904","6389","6094","5900","6187","6317","6469","6598","6839","5310","5118","."
"Etelä-Pohjanmaa","Alavus","3641","4095","4070","3856","3770","3707","4440","5497","5606","6259","6346","6054","6302","5698","8211","."
"Etelä-Pohjanmaa","Lappajärvi","2121","2665","2811","2339","2290","2840","2979","1785","1442","1902","2528","2567","1888","1991","1721","."
"Etelä-Pohjanmaa","Kurikka","6168","5923","3114","3072","3492","3538","4353","4578","4450","4467","7822","7245","7483","7480","6106","."
"Etelä-Pohjanmaa","Teuva","3245","3430","3363","3365","2926","3106","3435","3853","3673","3644","3776","3792","3942","3697","3290","."
"Etelä-Pohjanmaa","Jalasjärvi","4160","4317","4547","3533","3186","3551","3840","3747","3701","3782","3716","2650","3107","3562","3313","."
"Etelä-Pohjanmaa","Kuortane","2022","2130","1958","1800","1562","1557","1592","1611","1753","1775","2277","2559","2889","2511","2654","."
"Etelä-Pohjanmaa","Karijoki","686","676","1090","1510","1516","1944","1047","1571","1015","1041","1091","1032","847","1004","821","."
"Etelä-Pohjanmaa","Vimpeli","1301","2015","1486","1780","1549","1371","1237","1373","1258","1548","1653","1809","1635","1155","1444","."
"Etelä-Pohjanmaa","Ilmajoki","3994","4448","5096","5359","3902","3583","4520","3852","4503","5450","4498","4861","5308","5016","4937","."
"Etelä-Pohjanmaa","Ähtäri","3232","3265","3448","3411","3659","3285","2808","3065","2981","3477","3248","3331","3530","3562","3312","."
"Etelä-Pohjanmaa","Isojoki","651","1318","1633","1608","1457","1211","1447","1461","1408","1343","1653","1324","1628","1457","1121","."
"Etelä-Savo","Sulkava","1787","1403","1341","1323","1818","1787","1585","1106","1147","1461","1377","2251","1603","1232","1349","."
"Etelä-Savo","Joroinen+Juva+Rantasalmi","2199","3012","2844","3191","3553","2965","2859","2346","2368","9874","8857","8506","8698","8558","8416","."
"Etelä-Savo","Mäntyharju","2762","2547","2948","2459","2746","3000","3044","2764","2929","2951","2839","2941","2905","2789","2740","."
"Etelä-Savo","Pieksämäki","4356","4375","4686","4319","4446","4057","4023","4250","7284","8981","9584","8958","9464","9178","7686","."
"Etelä-Savo","Heinävesi","1954","1777","1888","1884","2246","1725","1813","1855","2044","1841","1902","1799","1832","1851","1810","."
"Etelä-Savo","Kangasniemi","3125","3670","3411","2825","3347","4089","3302","4208","3724","4025","3934","4403","3508","2937","2994","."
"Etelä-Savo","Mikkeli+Pertunm.+Puum.+Hirvens.","10875","8712","13157","18836","16124","17159","18292","18881","18979","20521","23180","22462","23264","18822","18585","."
"Etelä-Savo","Savonlinna","5628","8920","8384","8624","8284","9787","10337","8867","9961","10669","10941","9448","7949","8097","11492","."
"Etelä-Savo","Enonkoski","900","936","661","537","499","481","402","502","426","457","546","506","666","576","595","."
"Kainuu","Kuhmo","5445","5953","4321","3961","3459","4664","4271","4054","4056","4017","3716","3762","4047","3088","2890","."
"Kainuu","Vaala","3699","3213","1871","2084","2003","2009","1714","1989","2119","2341","2659","2572","2766","2432","2702","."
"Kainuu","Kajaani","14213","15136","13946","14906","16135","16150","11598","11426","13361","12456","12426","10664","12284","11325","10620","."
"Kainuu","Sotkamo","6570","6673","5117","4249","4589","5435","5236","4405","4417","4416","4378","5094","5752","4821","3726","."
"Kainuu","Paltamo","1931","1489","2241","2107","1862","2208","1929","1864","2189","2271","2282","2161","2171","1827","1958","."
"Kainuu","Suomussalmi","4329","6972","3727","3736","3732","3137","3954","4227","4281","4201","4396","4369","3904","3142","3200","."
"Kainuu","Puolanka","2390","2355","2227","1741","1755","1523","1349","1094","1286","1305","1309","1196","1472","1170","1272","."
"Kainuu","Ristijärvi","627","722","758","724","698","666","694","761","605","663","783","790","821","706","710","."
"Kainuu","Hyrynsalmi","2661","2956","1895","1310","1427","1324","1154","1113","1370","1271","1444","1310","1207","1032","997","."
"Kanta-Häme","Riihimäki","8141","7882","9575","9909","10054","10756","10750","10982","12143","11561","11514","11855","12398","11827","13811","."
"Kanta-Häme","Hämeenlinna","17993","20025","21539","22211","19569","17280","17034","15526","16655","18090","22912","22624","23493","23828","22751","."
"Kanta-Häme","Janakkala","6237","6110","5170","5861","7383","6239","6792","5407","5470","6186","5909","5940","5936","5782","5500","."
"Kanta-Häme","Forssa","5452","6320","6230","6197","6448","6528","6477","6412","6336","6948","7034","6019","6000","6016","5653","."
"Kanta-Häme","Hattula","3665","3767","3453","3164","3485","4109","3447","3891","3630","4161","4830","5218","5003","5395","2626","."
"Kanta-Häme","Ypäjä","811","1239","923","1385","1529","1476","1176","1181","1119","1147","1159","1268","1493","1327","1155","."
"Kanta-Häme","Jokioinen","1544","1787","1807","2140","2350","2190","1810","2027","1977","2359","2372","2315","2213","2572","2486","."
"Kanta-Häme","Hausjärvi","4339","3678","4396","5650","4155","4043","4364","3702","1926","3234","3080","3523","3304","3577","3952","."
"Kanta-Häme","Tammela","2342","2439","2479","2353","2209","2619","2336","2341","2567","2765","2339","2194","2482","2571","2548","."
"Kanta-Häme","Loppi","2862","2947","3550","3171","3199","3671","2941","3413","3190","3223","3504","2388","2867","2686","2282","."
"Kanta-Häme","Humppila","1026","1002","815","1157","935","1113","982","842","1042","1163","1072","1187","1154","1231","1175","."
"Keski-Pohjanmaa","Kaustinen","1619","1715","1707","1675","1485","1466","1834","2067","1902","2164","2560","2285","2031","2030","1648","."
"Keski-Pohjanmaa","Toholampi","1542","1413","1766","1530","1386","1297","1867","1706","1762","2306","2311","2287","2550","2184","1829","."
"Keski-Pohjanmaa","Kokkola","11879","13151","14033","14633","15098","14982","14692","15014","13320","17412","22065","21135","20739","18603","16903","."
"Keski-Pohjanmaa","Veteli","1921","1573","2131","1612","2640","1776","1827","1317","1798","2227","2359","2230","2400","2048","2205","."
"Keski-Pohjanmaa","Kannus","1948","2218","2078","2688","2121","2267","3388","3567","3583","3794","3598","3225","3075","3443","2746","."
"Keski-Pohjanmaa","Perho","1841","1463","1447","1307","1233","1334","1231","1081","1311","1733","1673","1708","1849","1564","1785","."
"Keski-Pohjanmaa","Lestijärvi","809","1035","873","870","671","665","719","909","709","825","812","920","801","944","844","."
"Keski-Pohjanmaa","Halsua","856","388","660","648","690","725","534","679","984","727","745","858","835","684","716","."
"Keski-Suomi","Jyväskylä","28390","32115","31838","30239","23624","25473","27309","28540","28065","35045","50817","55342","50697","41933","42970","."
"Keski-Suomi","Muurame","3667","4000","3757","3792","3702","3423","3851","3387","3062","3322","3463","3285","3867","2865","2704","."
"Keski-Suomi","Karstula","2786","3024","3146","3193","3301","3379","3086","2983","2590","3205","2976","3405","3339","3486","3073","."
"Keski-Suomi","Kuhmoinen","1837","1863","1789","1649","1679","1776","1898","1614","1924","1882","1399","1721","1891","1341","1734","."
"Keski-Suomi","Uurainen","1274","1522","1481","1675","1444","1352","894","905","1554","1483","1043","2119","3451","3135","1937","."
"Keski-Suomi","Laukaa","5297","5966","6077","5907","5911","6151","6497","6786","6667","7193","6806","6491","6353","6344","5421","."
"Keski-Suomi","Pihtipudas+Viitasaari","3929","3096","2154","2140","2002","2299","2095","2201","2268","2485","2523","2596","2697","2285","5926","."
"Keski-Suomi","Saarijärvi","7113","6456","5690","5610","5490","5397","3696","3748","4123","3468","4216","3894","3677","2726","2879","."
"Keski-Suomi","Kyyjärvi","1160","1004","794","896","821","1211","1015","1000","716","1090","1005","1090","1136","968","930","."
"Keski-Suomi","Keuruu","4357","4903","4695","4615","5098","5432","5286","5764","5953","5532","5938","5383","5325","5580","5265","."
"Keski-Suomi","Petäjävesi","1243","991","1126","1399","1279","1585","1923","1567","1556","1992","2029","1861","1839","1617","1165","."
"Keski-Suomi","Hankasalmi","2623","2436","3482","2304","3948","2989","2687","2231","2131","2376","2633","2736","2985","2566","2572","."
"Keski-Suomi","Jämsä","6711","6055","7554","8205","7964","7084","6472","5784","6770","7027","9309","9456","9776","7443","6627","."
"Keski-Suomi","Toivakka","900","2491","1686","1317","1159","1147","1240","1378","1091","1229","1315","1075","986","890","801","."
"Keski-Suomi","Kinnula","844","1358","1075","1262","989","980","1049","1824","1723","898","878","1102","1127","1211","1062","."
"Keski-Suomi","Konnevesi","1417","1914","1513","1344","1202","1245","1452","1309","1367","1460","1461","1624","1768","1562","1465","."
"Keski-Suomi","Kannonkoski","685","722","817","732","723","755","1022","987","936","932","921","1110","1131","878","905","."
"Keski-Suomi","Joutsa","1557","1581","1348","1368","1530","1324","1364","1638","1605","2201","2265","2448","3419","2259","1677","."
"Keski-Suomi","Multia","1229","1167","1336","1177","975","1143","1047","1031","1071","1079","1359","949","939","561","796","."
"Keski-Suomi","Äänekoski","5243","4998","5292","4678","5562","6448","5581","5843","7554","7278","6950","6771","7580","7269","6973","."
"Keski-Suomi","Luhanka","436","409","550","581","554","435","457","600","584","654","726","737","699","742","602","."
"Keski-Suomi","Kivijärvi","928","787","941","922","957","1200","969","847","957","788","690","633","572","758","624","."
"Kymenlaakso","Iitti","2409","2466","2591","2839","2642","3289","2522","2796","2772","2826","2838","2933","3116","2870","2691","."
"Kymenlaakso","Kouvola","13355","12407","13890","13106","12498","13345","12102","12590","11473","14333","29557","30444","30910","28086","28277","."
"Kymenlaakso","Kotka","22796","23101","17195","19299","17062","16350","17957","17427","16578","19628","17819","15695","15221","14979","16807","."
"Kymenlaakso","Hamina","4641","4936","5046","3878","8193","8233","7282","7738","7914","8494","8469","7798","8072","7442","7456","."
"Kymenlaakso","Pyhtää","1971","1773","1571","1401","2259","1798","1732","1844","2367","2290","1851","1814","1906","2283","2397","."
"Kymenlaakso","Virolahti","2379","1845","1850","1907","1604","1839","1611","2152","1688","1798","1924","1924","1684","1524","1440","."
"Kymenlaakso","Miehikkälä","1223","1528","1560","1608","1642","1677","1577","1446","1439","1513","1684","1584","1283","1270","1473","."
"Lappi","Ranua","2564","3090","2513","3387","3283","2786","2536","3457","2356","3423","2967","3225","3946","4401","5273","."
"Lappi","Enontekiö","1781","1915","2128","1631","1721","1598","2000","1868","1837","1742","2047","2188","1912","1782","1662","."
"Lappi","Muonio","2371","2514","2387","2387","2261","2431","2532","2527","2592","3550","2800","2352","2574","2491","2696","."
