"Maakunta","Kunta","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","dummy"
"Koko maa","Koko maa","363","373","376","374","365","367","360","364","374","403","396","401","412","368","351","."
"Etelä-Karjala","Imatra","227","167","284","285","264","269","247","250","244","282","258","256","261","230","245","."
"Etelä-Karjala","Lappeenranta","241","274","276","273","287","278","213","269","326","406","400","419","399","366","319","."
"Etelä-Karjala","Lemi","396","402","446","401","393","413","367","456","360","465","457","618","588","520","498","."
"Etelä-Karjala","Luumäki","314","343","425","345","339","379","388","409","397","432","443","480","796","809","418","."
"Etelä-Karjala","Parikkala","278","259","305","265","254","288","352","394","361","455","454","501","519","424","498","."
"Etelä-Karjala","Rautjärvi","377","421","459","361","406","450","373","505","508","475","542","512","475","456","417","."
"Etelä-Karjala","Ruokolahti","293","248","337","325","340","347","332","292","356","293","319","313","337","301","278","."
"Etelä-Karjala","Savitaipale","365","355","389","332","404","421","420","415","415","527","540","535","560","538","488","."
"Etelä-Karjala","Taipalsaari","398","417","370","454","479","456","475","568","682","578","632","551","620","496","614","."
"Etelä-Pohjanmaa","Ähtäri","437","450","478","478","518","469","403","445","435","515","491","507","545","556","521","."
"Etelä-Pohjanmaa","Alajärvi","285","293","359","322","431","435","408","372","441","385","447","475","462","453","320","."
"Etelä-Pohjanmaa","Alavus","360","409","410","392","387","383","459","571","587","657","670","644","679","617","665","."
"Etelä-Pohjanmaa","Evijärvi","425","376","451","558","569","568","615","663","647","616","741","823","805","889","860","."
"Etelä-Pohjanmaa","Ilmajoki","338","377","431","456","332","306","392","335","390","468","385","414","448","422","411","."
"Etelä-Pohjanmaa","Isojoki","233","480","606","604","551","462","558","572","554","533","672","550","678","619","490","."
"Etelä-Pohjanmaa","Jalasjärvi","454","478","510","400","362","405","442","434","434","445","445","320","378","438","410","."
"Etelä-Pohjanmaa","Karijoki","373","376","619","870","888","1153","618","939","628","659","693","675","557","657","542","."
"Etelä-Pohjanmaa","Kauhajoki","379","421","552","598","458","541","528","510","457","515","453","374","444","438","379","."
"Etelä-Pohjanmaa","Kauhava","298","331","344","298","415","410","433","365","389","412","435","441","436","377","420","."
"Etelä-Pohjanmaa","Kuortane","442","470","439","408","358","364","376","385","421","436","567","642","733","643","690","."
"Etelä-Pohjanmaa","Kurikka","565","546","291","289","328","333","412","435","423","423","530","495","513","516","424","."
"Etelä-Pohjanmaa","Lappajärvi","505","645","694","593","594","749","795","486","400","534","719","734","549","579","509","."
"Etelä-Pohjanmaa","Lapua","360","450","409","438","422","456","435","419","439","446","454","461","474","365","349","."
"Etelä-Pohjanmaa","Seinäjoki","497","547","512","390","398","374","373","388","356","374","455","445","470","443","441","."
"Etelä-Pohjanmaa","Soini","461","485","445","553","592","645","636","619","549","523","492","586","604","596","587","."
"Etelä-Pohjanmaa","Teuva","478","513","508","517","457","490","545","619","596","592","621","636","666","632","570","."
"Etelä-Pohjanmaa","Vimpeli","359","559","418","513","448","403","362","402","371","465","501","549","502","358","451","."
"Etelä-Savo","Heinävesi","409","379","412","416","498","388","412","430","482","443","468","453","468","484","484","."
"Etelä-Savo","Joroinen+Juva+Rantasalmi","365","507","484","548","618","518","506","418","423","582","529","514","532","528","526","."
"Etelä-Savo","Kangasniemi","454","545","511","429","515","637","523","673","599","656","646","731","588","501","513","."
"Etelä-Savo","Mäntyharju","378","354","413","345","389","428","440","403","437","444","432","454","450","436","431","."
"Etelä-Savo","Mikkeli+Pertunm.+Puum.+Hirvens.","330","265","282","404","347","332","339","337","323","351","382","371","385","311","304","."
"Etelä-Savo","Pieksämäki","328","334","363","339","353","324","323","344","351","439","472","445","476","466","396","."
"Etelä-Savo","Savonlinna","198","317","302","312","300","355","376","326","367","398","393","341","287","294","314","."
