"Maakunta","Kunta","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","dummy"
"Koko maa","Koko maa","0.81","0.81","0.82","0.82","0.82","0.82","0.81","0.8","0.8","0.8","0.79","0.79","0.79","0.79","0.77","."
"Etelä-Karjala","Imatra","0.77","0.78","0.78","0.79","0.83","0.87","0.79","0.8","0.8","0.71","0.7","0.7","0.7","0.7","0.69","."
"Etelä-Karjala","Lappeenranta","0.66","0.68","0.72","0.72","0.71","0.69","0.73","0.74","0.7","0.65","0.65","0.68","0.67","0.68","0.69","."
"Etelä-Karjala","Lemi","0.67","0.67","0.57","0.52","0.46","0.44","0.44","0.63","0.63","0.58","0.58","0.58","0.65","0.65","0.65","."
"Etelä-Karjala","Luumäki","0.8","0.84","0.84","0.65","0.85","0.86","0.86","0.86","0.87","0.88","0.88","0.88","0.97","0.93","1","."
"Etelä-Karjala","Parikkala","0.63","0.64","0.65","0.66","0.67","0.68","0.82","0.79","0.73","0.79","0.72","0.82","0.81","0.9","1.01","."
"Etelä-Karjala","Rautjärvi","0.95","0.98","1","1.04","1.05","1","1.2","1.09","0.79","0.88","1.03","0.87","0.89","0.91","0.92","."
"Etelä-Karjala","Ruokolahti","0.63","0.68","0.69","0.75","0.72","0.7","0.61","0.66","0.71","0.72","0.76","0.74","0.71","0.7","0.64","."
"Etelä-Karjala","Savitaipale","0.6","0.68","0.68","0.69","0.7","0.71","0.72","0.73","0.73","0.71","0.66","0.66","0.68","0.69","0.7","."
"Etelä-Karjala","Taipalsaari","0.76","0.68","0.69","0.64","0.66","0.65","0.69","0.9","0.67","0.67","0.68","0.65","0.61","0.62","0.62","."
"Etelä-Pohjanmaa","Ähtäri","0.81","0.83","0.91","0.77","0.9","0.9","0.89","0.84","0.75","0.74","0.71","0.73","0.74","0.75","0.79","."
"Etelä-Pohjanmaa","Alajärvi","0.73","0.74","0.88","0.84","0.81","0.87","0.82","0.79","0.86","0.83","0.81","0.81","0.75","0.76","0.83","."
"Etelä-Pohjanmaa","Alavus","0.79","0.81","0.83","0.83","0.82","0.82","0.74","0.79","0.77","0.79","0.82","0.87","0.82","0.85","0.82","."
"Etelä-Pohjanmaa","Evijärvi","0.89","0.8","0.82","0.83","0.77","0.74","0.43","0.63","0.85","0.75","0.75","0.72","0.76","0.73","0.74","."
"Etelä-Pohjanmaa","Ilmajoki","0.65","0.62","0.63","0.64","0.64","0.69","0.66","0.7","0.68","0.65","0.57","0.56","0.6","0.59","0.56","."
"Etelä-Pohjanmaa","Isojoki","0.71","0.73","0.74","0.75","0.76","0.76","0.77","0.78","0.79","0.79","0.81","0.83","0.83","0.85","0.79","."
"Etelä-Pohjanmaa","Jalasjärvi","0.66","0.66","0.67","0.68","0.71","0.73","0.72","0.69","0.59","0.7","0.73","0.72","0.61","0.62","0.62","."
"Etelä-Pohjanmaa","Karijoki","0.71","0.5","0.85","1.18","0.59","0.59","0.59","0.6","0.62","0.63","0.64","0.65","0.66","0.65","0.8","."
"Etelä-Pohjanmaa","Kauhajoki","0.56","0.53","0.54","0.65","0.65","0.63","0.64","0.64","0.64","0.64","0.64","0.64","0.65","0.65","0.65","."
"Etelä-Pohjanmaa","Kauhava","0.71","0.68","0.72","0.64","0.65","0.67","0.74","0.75","0.75","0.75","0.68","0.68","0.69","0.7","0.7","."
"Etelä-Pohjanmaa","Kuortane","0.88","0.86","0.79","0.72","0.73","0.75","0.76","0.76","0.77","0.79","0.8","0.8","0.81","0.77","0.78","."
"Etelä-Pohjanmaa","Kurikka","0.52","0.53","0.54","0.55","0.55","0.54","0.6","0.58","0.53","0.54","0.68","0.68","0.72","0.77","0.65","."
"Etelä-Pohjanmaa","Lappajärvi","0.71","0.73","0.74","0.76","0.78","0.79","0.8","0.82","0.83","0.84","0.85","0.86","0.87","0.87","0.89","."
"Etelä-Pohjanmaa","Lapua","0.76","0.74","0.75","0.75","0.73","0.75","0.75","0.75","0.74","0.74","0.74","0.73","0.66","0.72","0.69","."
"Etelä-Pohjanmaa","Seinäjoki","0.9","0.94","0.94","0.96","0.97","0.99","0.97","0.95","0.95","0.96","0.87","0.84","0.87","0.89","0.92","."
"Etelä-Pohjanmaa","Soini","1.06","1.07","1.07","1.1","1.1","0.75","0.75","0.77","0.78","0.79","0.88","0.84","0.86","0.87","0.67","."
"Etelä-Pohjanmaa","Teuva","0.66","0.75","0.76","0.74","0.73","0.73","0.74","0.75","0.76","0.81","0.77","0.85","0.92","1.04","0.94","."
"Etelä-Pohjanmaa","Vimpeli","0.55","0.56","0.56","0.49","0.49","0.5","0.59","0.59","0.59","0.6","0.61","0.67","0.68","0.69","0.69","."
"Etelä-Savo","Heinävesi","0.84","0.85","0.87","0.88","0.8","0.69","0.82","0.8","0.73","0.57","0.84","0.86","0.89","0.91","0.83","."
"Etelä-Savo","Joroinen+Juva+Rantasalmi","0.58","0.59","0.57","0.72","0.73","0.8","0.82","0.75","0.77","0.89","0.84","0.92","0.88","0.92","0.97","."
"Etelä-Savo","Kangasniemi","0.8","0.74","0.75","0.76","0.79","0.75","0.81","0.83","0.86","0.92","0.88","0.91","0.91","0.87","0.86","."
"Etelä-Savo","Mäntyharju","0.71","0.72","0.7","0.71","0.74","0.8","0.81","0.73","0.76","0.8","0.79","0.82","0.79","0.8","0.82","."
"Etelä-Savo","Mikkeli+Pertunm.+Puum.+Hirvens.","0.83","0.82","0.76","0.82","0.75","0.76","0.74","0.71","0.68","0.63","0.65","0.65","0.64","0.67","0.66","."
"Etelä-Savo","Pieksämäki","0.75","0.76","0.74","0.75","0.76","0.77","0.77","0.73","0.77","0.78","0.79","0.79","0.81","0.76","0.77","."
"Etelä-Savo","Savonlinna","0.73","0.67","0.68","0.72","0.68","0.7","0.67","0.64","0.64","0.64","0.62","0.66","0.66","0.6","0.67","."
"Etelä-Savo","Sulkava","0.79","0.85","0.87","0.88","0.89","0.91","0.92","0.94","0.95","0.97","0.99","1.01","1.02","1.1","1.11","."
"Etelä-Savo","Enonkoski","1.03","1.05","1.07","1.1","1.12","1.14","1.15","1.17","1.18","1.19","1.21","1.24","1.24","1.28","1.31","."
"Kainuu","Hyrynsalmi","0.82","0.84","0.86","0.89","0.91","0.93","0.95","0.97","1","1.01","1.04","0.86","0.73","0.75","0.75","."
"Kainuu","Kajaani","0.9","1","0.98","0.94","1","0.97","0.95","0.97","0.95","0.97","0.94","0.91","0.87","0.88","0.85","."
"Kainuu","Kuhmo","0.95","0.97","0.99","1","0.98","0.99","0.86","0.97","0.89","0.91","0.92","0.83","0.84","0.86","0.87","."
"Kainuu","Paltamo","1.07","0.95","0.79","0.92","1.16","1.16","1.16","1.17","0.98","0.98","1","1.02","1.03","1.05","1.07","."
"Kainuu","Puolanka","0.87","0.89","0.91","0.67","0.69","0.7","0.86","0.67","0.57","0.68","0.69","0.7","0.72","1","1.02","."
"Kainuu","Ristijärvi","0.85","0.88","0.89","0.92","0.93","0.95","0.96","0.69","0.7","0.76","0.71","0.66","0.99","1.07","1.1","."
"Kainuu","Sotkamo","0.97","0.98","1.04","1.01","0.98","0.98","0.98","0.98","0.98","0.95","1.07","0.87","0.88","0.97","0.96","."
"Kainuu","Suomussalmi","0.88","0.93","0.95","0.97","0.95","0.9","0.9","0.9","0.91","0.97","0.96","0.92","0.94","0.96","0.98","."
"Kainuu","Vaala","0.95","0.97","0.99","1.01","1.03","1.04","1.07","1.08","1.11","0.84","0.86","1.03","1.19","1.06","1","."
"Kanta-Häme","Forssa","0.8","0.88","0.85","0.84","0.85","0.92","0.87","0.88","0.88","0.87","0.85","0.85","0.87","0.82","0.87","."
"Kanta-Häme","Hämeenlinna","0.84","0.84","0.85","0.85","0.83","0.82","0.79","0.78","0.81","0.8","0.72","0.81","0.79","0.79","0.8","."
"Kanta-Häme","Hattula","0.61","0.6","0.59","0.56","0.56","0.55","0.55","0.55","0.53","0.54","0.64","0.63","0.69","0.68","0.69","."
"Kanta-Häme","Hausjärvi","0.86","0.86","0.98","0.92","0.97","1.09","1.11","1.07","1.03","1.03","0.98","0.82","0.82","0.82","0.8","."
"Kanta-Häme","Humppila","0.77","0.77","0.77","0.76","0.77","0.77","0.77","0.77","0.77","0.78","0.79","0.79","0.8","0.8","0.8","."
"Kanta-Häme","Janakkala","0.88","0.87","0.88","0.85","0.84","0.8","0.84","0.84","0.78","0.79","0.77","0.81","0.8","0.73","0.75","."
"Kanta-Häme","Jokioinen","0.72","0.71","0.55","0.71","0.8","0.84","0.77","0.73","0.71","0.73","0.73","0.73","0.81","0.72","0.73","."
"Kanta-Häme","Loppi","0.86","0.87","0.86","0.84","0.84","0.83","0.87","0.88","0.87","0.86","0.86","0.85","0.85","0.84","0.84","."
"Kanta-Häme","Riihimäki","0.77","0.77","0.84","0.76","0.78","0.77","0.8","0.79","0.81","0.79","0.81","0.8","0.76","0.76","0.75","."
"Kanta-Häme","Tammela","0.47","0.6","0.63","0.62","0.62","0.62","0.62","0.61","0.61","0.63","0.63","0.62","0.64","0.61","0.63","."
"Kanta-Häme","Ypäjä","0.79","0.8","0.8","0.81","0.83","0.82","0.82","0.82","0.83","0.83","0.84","0.85","0.78","0.78","0.8","."
"Keski-Pohjanmaa","Halsua","0.88","0.94","1.16","1.3","1.33","1.34","1.29","1.3","1.34","1.33","1.48","1.51","1.55","1.57","1.6","."
"Keski-Pohjanmaa","Kannus","0.88","0.89","0.9","0.89","0.89","0.87","0.89","0.89","0.86","0.93","0.93","0.93","0.97","0.98","0.77","."
