"Maakunta","Kunta","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","dummy"
"Koko maa","Koko maa","99265381","102197195","103461057","106867495","108405719","109753512","105569704","102555457","100839786","99777194","98785480","96228025","97427711","94908348","92775720","."
"Etelä-Karjala","Imatra","519840","502972","508584","540357","546209","520859","484028","474415","447812","418351","421350","402455","383672","370668","333623","."
"Etelä-Karjala","Lappeenranta","885590","923835","946956","989868","1005686","1023783","972719","916469","812309","867929","1053892","1025249","1047561","1040576","915105","."
"Etelä-Karjala","Lemi","50799","53674","50572","50322","49609","52686","51324","47142","49266","44908","46529","48679","40799","38821","35221","."
"Etelä-Karjala","Luumäki","73311","74636","73614","73812","74941","75251","78568","78463","73705","70684","70237","67996","69887","64505","61568","."
"Etelä-Karjala","Parikkala","77381","73937","71952","72289","70181","65129","84076","84682","72294","67413","65405","61020","55264","55420","53403","."
"Etelä-Karjala","Rautjärvi","87509","84436","92499","92454","79041","72491","65513","61011","55218","58047","63523","59309","53497","54461","42399","."
"Etelä-Karjala","Ruokolahti","100425","104190","100637","118084","118477","137330","108971","114922","95284","85222","78823","71212","72710","70809","61723","."
"Etelä-Karjala","Savitaipale","73639","74936","75106","76010","79234","78165","76964","74779","73716","68432","64092","58434","58190","55599","50696","."
"Etelä-Karjala","Taipalsaari","65131","72813","55694","63697","66339","65298","62775","58188","58697","56862","59866","59613","62602","61654","59857","."
"Etelä-Pohjanmaa","Ähtäri","125655","130312","131206","129672","130270","130123","117874","120564","107554","103810","110794","93183","92287","97340","93128","."
"Etelä-Pohjanmaa","Alajärvi","185281","197385","203233","196776","207985","214228","217640","209125","200405","200146","203125","205711","211007","207404","200662","."
"Etelä-Pohjanmaa","Alavus","187556","198188","204639","214071","212359","211019","182455","198837","200820","209760","201568","185365","181739","181298","214586","."
"Etelä-Pohjanmaa","Evijärvi","54648","54973","56873","64707","54984","55411","61826","60831","57205","60029","55543","57950","58410","47913","51330","."
"Etelä-Pohjanmaa","Ilmajoki","184827","189075","188564","185017","181691","184901","179814","179424","163752","156839","155344","160185","166362","165983","176786","."
"Etelä-Pohjanmaa","Isojoki","33532","34493","40482","36414","37283","40935","35730","36614","32894","31642","32274","31691","32316","28532","26914","."
"Etelä-Pohjanmaa","Jalasjärvi","165090","161673","157141","158681","157717","157214","144872","147218","138610","136755","127590","123061","125058","128904","128411","."
"Etelä-Pohjanmaa","Karijoki","24908","24529","20254","19647","21427","28709","20517","24269","23442","28988","27637","28101","25314","24981","22761","."
"Etelä-Pohjanmaa","Kauhajoki","292334","379344","314253","322840","330049","356040","357873","354327","353474","340812","319583","298795","298883","296482","280892","."
"Etelä-Pohjanmaa","Kauhava","174745","179868","182744","179785","184850","183064","171787","171212","166621","175636","320938","321028","325141","305294","301046","."
"Etelä-Pohjanmaa","Kuortane","70793","71325","72512","70336","69709","67510","65421","61714","61463","59230","61259","58201","61407","65498","58275","."
"Etelä-Pohjanmaa","Kurikka","223781","220846","229940","211632","204175","194416","180688","193205","175208","175386","250869","257741","252661","257842","243948","."
"Etelä-Pohjanmaa","Lappajärvi","91579","89223","86594","93625","87734","84087","79480","79764","78700","77653","76591","77866","73164","61527","57427","."
"Etelä-Pohjanmaa","Lapua","264945","254403","260040","277639","276621","285233","295623","301356","287416","287362","278900","273396","269667","263135","255221","."
"Etelä-Pohjanmaa","Seinäjoki","712352","704434","707850","731425","737503","733265","787705","787107","783118","784833","1117560","1133930","1195802","1097562","1273184","."
"Etelä-Pohjanmaa","Soini","65628","68767","67800","70403","68135","63271","64720","65668","62120","64078","62525","61253","58496","53745","41732","."
"Etelä-Pohjanmaa","Teuva","143649","128706","132347","127098","131344","150719","148317","134649","129023","125053","129305","111272","108663","98922","96178","."
"Etelä-Pohjanmaa","Vimpeli","59823","63387","64632","67503","64642","62823","60048","54925","55392","57039","57178","56230","55393","47738","47998","."
