"Maakunta","Kunta","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","dummy"
"Koko maa","Koko maa","47.1","47.3","46.9","47","46.9","45.9","44.8","43.3","41.9","41.3","40.3","39.2","39.2","38.5","37.8","."
"Etelä-Karjala","Imatra","38.2","37.7","37.4","38","38.2","37.7","35.5","34.4","32.7","31.7","30.9","29.7","28.5","27.9","28.7","."
"Etelä-Karjala","Lappeenranta","46.7","47.4","46.7","46.8","46.6","46.6","43.3","41.4","38.1","37.8","36.6","35.2","35.4","35.8","32.1","."
"Etelä-Karjala","Lemi","39.5","40","40.2","39.1","40.9","41.3","41","38.7","36.1","34.3","34.4","34.1","33","32.1","32.7","."
"Etelä-Karjala","Luumäki","43.8","37.9","38.3","38.8","38.2","38.8","39.1","38.1","36.5","36.3","35.9","29.2","33.9","30.8","35.5","."
"Etelä-Karjala","Parikkala","37.4","43.8","43.2","43.5","44.1","41.8","38.6","39.4","37.5","36","37.3","34.7","33.4","32.8","32.8","."
"Etelä-Karjala","Rautjärvi","47.7","47.5","47.7","47.5","45.8","45.5","46.1","41.6","36.1","32.9","37.7","33.2","32.2","32.2","34.4","."
"Etelä-Karjala","Ruokolahti","43.5","41.5","45","48.9","49.6","49.9","47.7","50.5","44.8","43.7","41.7","40.7","40.3","39.8","34.2","."
"Etelä-Karjala","Savitaipale","48.6","44.7","45.6","46.5","47.8","48.4","45.4","44.9","43.9","44.3","43.6","39.7","41.2","40.4","39","."
"Etelä-Karjala","Taipalsaari","41.6","37.1","36.6","37.3","38.6","38.2","37.9","36.2","35.9","28.5","27.3","32.9","33.6","33","33.1","."
"Etelä-Pohjanmaa","Ähtäri","44.5","44.5","46.7","46.6","45.4","41","43.7","42.1","40.6","42.4","39.9","36.9","37.2","39.1","35.9","."
"Etelä-Pohjanmaa","Alajärvi","35.2","38","38.8","37.7","49.9","49.5","48.5","47.2","46.4","54.9","55.8","54.5","56.6","53.1","53.1","."
"Etelä-Pohjanmaa","Alavus","44.7","45.6","45.1","45.2","45.1","45.3","45","43.4","43.8","42.8","42.2","40.5","39.6","39.3","33.4","."
