"Maakunta","Kunta","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","dummy"
"Koko maa","Koko maa","19.3","19.9","20.1","20.7","20.9","21.1","20.3","19.6","19.2","18.9","18.6","18.1","18.2","17.7","17.2","."
"Etelä-Karjala","Imatra","16.6","16.3","16.6","17.8","18.1","17.4","16.3","16.1","15.2","14.3","14.6","14","13.4","13","11.8","."
"Etelä-Karjala","Lappeenranta","15.4","16","16.3","16.9","17.1","17.4","16.5","15.5","13.7","14.6","15","14.3","14.6","14.4","12.6","."
"Etelä-Karjala","Lemi","16.1","17.1","16.1","16","15.9","16.8","16.5","15.2","16.1","14.7","15.2","16","13.3","12.7","11.5","."
"Etelä-Karjala","Luumäki","13.6","14","13.8","13.7","14","14.2","14.9","14.8","14.1","13.6","13.6","13.1","13.6","12.6","12.3","."
"Etelä-Karjala","Parikkala","16.4","15.8","15.7","15.9","15.7","14.7","13.4","13.6","11.8","11.1","10.9","10.4","9.5","9.8","9.6","."
"Etelä-Karjala","Rautjärvi","18.1","18","20","20.3","17.6","16.4","15.1","14.3","13.1","13.9","15.5","14.7","13.6","14.2","11.2","."
"Etelä-Karjala","Ruokolahti","15.9","16.6","16.2","19.2","19.6","22.8","18.4","19.5","16.2","14.9","13.8","12.4","12.8","12.7","11.1","."
"Etelä-Karjala","Savitaipale","16.5","16.9","17.1","17.6","18.5","18.5","18.5","18.1","17.8","16.8","15.9","14.8","15.1","14.7","13.5","."
"Etelä-Karjala","Taipalsaari","13.8","15.5","11.8","13.5","14","13.6","13","11.9","11.8","11.5","12.2","12.2","12.7","12.7","12.4","."
"Etelä-Pohjanmaa","Ähtäri","17","18","18.2","18.2","18.5","18.6","16.9","17.5","15.7","15.4","16.7","14.2","14.2","15.2","14.6","."
"Etelä-Pohjanmaa","Alajärvi","19.4","20.9","21.7","21.3","22.8","23.7","24","23.3","22.6","22.7","19.1","19.5","20.1","20.1","19.5","."
"Etelä-Pohjanmaa","Alavus","18.6","19.8","20.6","21.7","21.8","21.8","18.9","20.6","21","22","21.3","19.7","19.6","19.6","17.4","."
"Etelä-Pohjanmaa","Evijärvi","17.3","17.6","18.5","21.4","18.4","18.6","21.1","20.9","20","21.2","20","20.9","21.2","17.4","19.1","."
"Etelä-Pohjanmaa","Ilmajoki","15.7","16","15.9","15.7","15.5","15.8","15.6","15.6","14.2","13.5","13.3","13.6","14","14","14.7","."
"Etelä-Pohjanmaa","Isojoki","12","12.6","15","13.7","14.1","15.6","13.8","14.3","13","12.6","13.1","13.2","13.5","12.1","11.8","."
"Etelä-Pohjanmaa","Jalasjärvi","18","17.9","17.6","18","17.9","17.9","16.7","17.1","16.2","16.1","15.3","14.9","15.2","15.9","15.9","."
"Etelä-Pohjanmaa","Karijoki","13.5","13.6","11.5","11.3","12.6","17","12.1","14.5","14.5","18.4","17.6","18.4","16.6","16.4","15","."
"Etelä-Pohjanmaa","Kauhajoki","19.4","25.2","21.2","21.9","22.5","24.4","24.6","24.5","24.5","23.6","22.2","20.8","20.9","20.9","19.8","."
"Etelä-Pohjanmaa","Kauhava","20.6","21.1","21.8","21.8","22.7","22.7","21.2","21.3","20.9","22","18.1","18.3","18.8","17.7","17.5","."
"Etelä-Pohjanmaa","Kuortane","15.5","15.7","16.3","15.9","16","15.8","15.5","14.7","14.7","14.5","15.2","14.6","15.6","16.8","15.1","."
"Etelä-Pohjanmaa","Kurikka","20.5","20.4","21.5","19.9","19.2","18.3","17.1","18.3","16.7","16.6","17","17.6","17.3","17.8","16.9","."
"Etelä-Pohjanmaa","Lappajärvi","21.8","21.6","21.4","23.7","22.8","22.2","21.2","21.7","21.8","21.8","21.8","22.3","21.3","17.9","17","."
"Etelä-Pohjanmaa","Lapua","18.6","17.9","18.5","19.9","19.8","20.4","21.1","21.4","20.4","20.3","19.6","19.1","18.7","18.1","17.4","."
"Etelä-Pohjanmaa","Seinäjoki","24","23.4","23.4","23.8","23.7","23.1","21.9","21.6","21.3","21","19.9","19.9","20.7","18.7","21.4","."
"Etelä-Pohjanmaa","Soini","23.3","24.4","24.2","25.8","25.1","23.6","24.3","25.1","24.1","25.4","25.5","25.2","24.5","22.8","17.9","."
"Etelä-Pohjanmaa","Teuva","21.2","19.3","20","19.5","20.5","23.8","23.5","21.6","21","20.3","21.3","18.7","18.3","16.9","16.7","."
"Etelä-Pohjanmaa","Vimpeli","16.5","17.6","18.2","19.5","18.7","18.5","17.6","16.1","16.4","17.1","17.3","17","17","14.8","15","."
"Etelä-Savo","Heinävesi","19.5","20.3","20.6","23.3","24.6","23","21.9","22.2","22.1","21.1","19.5","18.6","17.7","16.3","15.6","."
"Etelä-Savo","Joroinen+Juva+Rantasalmi","12.4","12.8","13.1","13.3","14.3","14.8","13.7","15.8","16.5","17.5","17.6","16.8","17.5","17.5","17.5","."
"Etelä-Savo","Kangasniemi","19.8","20.6","20.5","20.8","20.3","22.2","22.2","22.1","21.1","19.5","17.9","18.7","14.5","15.6","15.5","."
"Etelä-Savo","Mäntyharju","20.9","20.6","20.7","21","20.6","20.4","19.8","17.9","18.9","18.2","18.4","16.9","17","16.7","17.1","."
"Etelä-Savo","Mikkeli+Pertunm.+Puum.+Hirvens.","23.7","23.7","20.2","20.4","22.1","21.7","20.5","19.2","18.2","17.4","16.3","15.6","15.2","14.2","14.8","."
"Etelä-Savo","Pieksämäki","30.1","30.9","28.9","30.1","30.7","29.9","27.6","24","19.2","19.3","18.8","18","18","16.9","15.9","."
"Etelä-Savo","Savonlinna","16.4","16.2","16.2","16.9","17","17.5","16.4","16.4","16.2","16.9","15.7","14.7","14.5","14.1","12.7","."
"Etelä-Savo","Sulkava","16.4","19.2","20","20.5","22.4","24.4","23.7","22.5","22.6","22.9","21.6","20.9","20.8","21.5","21.3","."
"Etelä-Savo","Enonkoski","11.3","11.2","11.2","9","11.4","12.2","12.1","9.8","9.4","10.6","10.4","10.9","11","11.9","11.6","."
