"Maakunta","Kunta","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","dummy"
"Koko maa","Koko maa","0","0","0","0","0","0","0","0","0","0","0","0","0","23333","27776","."
"Etelä-Karjala","Imatra","0","0","0","0","0","0","0","0","0","0","0","0","0","85","139","."
"Etelä-Karjala","Lappeenranta","0","0","0","0","0","0","0","0","0","0","0","0","0","305","377","."
"Etelä-Karjala","Lemi","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","."
"Etelä-Karjala","Luumäki","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","."
"Etelä-Karjala","Parikkala","0","0","0","0","0","0","0","0","0","0","0","0","0","106","81","."
"Etelä-Karjala","Rautjärvi","0","0","0","0","0","0","0","0","0","0","0","0","0","44","19","."
"Etelä-Karjala","Ruokolahti","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","."
"Etelä-Karjala","Savitaipale","0","0","0","0","0","0","0","0","0","0","0","0","0","7","6","."
"Etelä-Karjala","Taipalsaari","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","."
"Etelä-Pohjanmaa","Alajärvi","0","0","0","0","0","0","0","0","0","0","0","0","0","38","119","."
"Etelä-Pohjanmaa","Alavus","0","0","0","0","0","0","0","0","0","0","0","0","0","41","32","."
"Etelä-Pohjanmaa","Evijärvi","0","0","0","0","0","0","0","0","0","0","0","0","0","6","13","."
"Etelä-Pohjanmaa","Ilmajoki","0","0","0","0","0","0","0","0","0","0","0","0","0","20","28","."
"Etelä-Pohjanmaa","Isojoki","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","."
"Etelä-Pohjanmaa","Jalasjärvi","0","0","0","0","0","0","0","0","0","0","0","0","0","26","38","."
"Etelä-Pohjanmaa","Karijoki","0","0","0","0","0","0","0","0","0","0","0","0","0","21","27","."
"Etelä-Pohjanmaa","Kauhajoki","0","0","0","0","0","0","0","0","0","0","0","0","0","88","45","."
"Etelä-Pohjanmaa","Kauhava","0","0","0","0","0","0","0","0","0","0","0","0","0","196","180","."
"Etelä-Pohjanmaa","Kuortane","0","0","0","0","0","0","0","0","0","0","0","0","0","10","12","."
"Etelä-Pohjanmaa","Kurikka","0","0","0","0","0","0","0","0","0","0","0","0","0","104","102","."
"Etelä-Pohjanmaa","Lappajärvi","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","."
"Etelä-Pohjanmaa","Lapua","0","0","0","0","0","0","0","0","0","0","0","0","0","26","102","."
"Etelä-Pohjanmaa","Seinäjoki","0","0","0","0","0","0","0","0","0","0","0","0","0","221","305","."
"Etelä-Pohjanmaa","Soini","0","0","0","0","0","0","0","0","0","0","0","0","0","47","34","."
"Etelä-Pohjanmaa","Teuva","0","0","0","0","0","0","0","0","0","0","0","0","0","25","13","."
"Etelä-Pohjanmaa","Vimpeli","0","0","0","0","0","0","0","0","0","0","0","0","0","57","60","."
"Etelä-Pohjanmaa","Ähtäri","0","0","0","0","0","0","0","0","0","0","0","0","0","25","49","."
"Etelä-Savo","Heinävesi","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","."
"Etelä-Savo","Joroinen+Juva+Rantasalmi","0","0","0","0","0","0","0","0","0","0","0","0","0","60","149","."
"Etelä-Savo","Kangasniemi","0","0","0","0","0","0","0","0","0","0","0","0","0","50","47","."
"Etelä-Savo","Mikkeli+Pertunm.+Puum.+Hirvens.","0","0","0","0","0","0","0","0","0","0","0","0","0","250","373","."
"Etelä-Savo","Mäntyharju","0","0","0","0","0","0","0","0","0","0","0","0","0","35","27","."
"Etelä-Savo","Pieksämäki","0","0","0","0","0","0","0","0","0","0","0","0","0","37","30","."
"Etelä-Savo","Savonlinna","0","0","0","0","0","0","0","0","0","0","0","0","0","15","47","."
"Etelä-Savo","Sulkava","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","."
"Etelä-Savo","Enonkoski","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","."
"Kainuu","Hyrynsalmi","0","0","0","0","0","0","0","0","0","0","0","0","0","4","8","."
"Kainuu","Kajaani","0","0","0","0","0","0","0","0","0","0","0","0","0","90","85","."
"Kainuu","Kuhmo","0","0","0","0","0","0","0","0","0","0","0","0","0","13","15","."
"Kainuu","Paltamo","0","0","0","0","0","0","0","0","0","0","0","0","0","34","29","."
"Kainuu","Puolanka","0","0","0","0","0","0","0","0","0","0","0","0","0","7","14","."
"Kainuu","Ristijärvi","0","0","0","0","0","0","0","0","0","0","0","0","0","8","9","."
"Kainuu","Sotkamo","0","0","0","0","0","0","0","0","0","0","0","0","0","12","9","."
"Kainuu","Suomussalmi","0","0","0","0","0","0","0","0","0","0","0","0","0","122","93","."
"Kainuu","Vaala","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","."
"Kanta-Häme","Forssa","0","0","0","0","0","0","0","0","0","0","0","0","0","70","88","."
"Kanta-Häme","Hattula","0","0","0","0","0","0","0","0","0","0","0","0","0","95","61","."
"Kanta-Häme","Hausjärvi","0","0","0","0","0","0","0","0","0","0","0","0","0","22","20","."
"Kanta-Häme","Humppila","0","0","0","0","0","0","0","0","0","0","0","0","0","2","20","."
"Kanta-Häme","Hämeenlinna","0","0","0","0","0","0","0","0","0","0","0","0","0","261","318","."
"Kanta-Häme","Janakkala","0","0","0","0","0","0","0","0","0","0","0","0","0","65","90","."
"Kanta-Häme","Jokioinen","0","0","0","0","0","0","0","0","0","0","0","0","0","18","38","."
"Kanta-Häme","Loppi","0","0","0","0","0","0","0","0","0","0","0","0","0","8","3","."
"Kanta-Häme","Riihimäki","0","0","0","0","0","0","0","0","0","0","0","0","0","68","148","."
"Kanta-Häme","Tammela","0","0","0","0","0","0","0","0","0","0","0","0","0","40","61","."
"Kanta-Häme","Ypäjä","0","0","0","0","0","0","0","0","0","0","0","0","0","30","32","."
"Keski-Pohjanmaa","Halsua","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","."
"Keski-Pohjanmaa","Kannus","0","0","0","0","0","0","0","0","0","0","0","0","0","29","30","."
"Keski-Pohjanmaa","Kaustinen","0","0","0","0","0","0","0","0","0","0","0","0","0","36","42","."
"Keski-Pohjanmaa","Kokkola","0","0","0","0","0","0","0","0","0","0","0","0","0","233","295","."
"Keski-Pohjanmaa","Lestijärvi","0","0","0","0","0","0","0","0","0","0","0","0","0","12","9","."
"Keski-Pohjanmaa","Perho","0","0","0","0","0","0","0","0","0","0","0","0","0","22","20","."
"Keski-Pohjanmaa","Toholampi","0","0","0","0","0","0","0","0","0","0","0","0","0","13","32","."
"Keski-Pohjanmaa","Veteli","0","0","0","0","0","0","0","0","0","0","0","0","0","27","34","."
"Keski-Suomi","Hankasalmi","0","0","0","0","0","0","0","0","0","0","0","0","0","44","29","."
"Keski-Suomi","Joutsa","0","0","0","0","0","0","0","0","0","0","0","0","0","25","19","."
"Keski-Suomi","Jyväskylä","0","0","0","0","0","0","0","0","0","0","0","0","0","306","300","."
