"Maakunta","Kunta","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","dummy"
"Koko maa","Koko maa","39.3","40.5","43.2","43.4","45.1","46.4","47.7","48.7","50.3","52.9","54.6","56.1","58","58.8","59.1","."
"Etelä-Karjala","Imatra","43.5","42.1","47","49.7","45.3","47.9","45.8","44.6","43.2","51.4","48.6","49.5","49.6","52","51.1","."
"Etelä-Karjala","Lappeenranta","31.7","32.4","33.4","33.5","34.1","34.5","35.9","43.1","43.6","47.4","46.4","47.9","47.7","48.3","50","."
"Etelä-Karjala","Lemi","40.2","39.3","42.9","46.1","49.4","39.6","41.2","46.3","43.5","44.1","48","53.4","58.4","62.2","62.9","."
"Etelä-Karjala","Luumäki","37.5","38.4","40","35","36.9","38.7","41.9","42.1","43","47.3","47.3","48.6","55.1","60.8","63.4","."
"Etelä-Karjala","Parikkala","37.7","33.6","37.1","36.9","37.6","38.2","43.8","45","47.2","50.9","61.4","66.6","64.1","67.3","67.7","."
"Etelä-Karjala","Rautjärvi","46.1","50.2","50.9","46.8","54.9","57.6","55.1","55.6","53.8","64.2","61.3","61.2","57.8","62.1","76.2","."
"Etelä-Karjala","Ruokolahti","34","33.2","34.7","37.8","40.5","41.6","44.1","33.7","43.1","43","45.8","47.8","50.7","55.3","56.5","."
"Etelä-Karjala","Savitaipale","28.6","30.6","32","32.8","33.5","35.4","36.3","36.2","37.7","37.6","41.4","38.8","43.1","44.6","46.2","."
"Etelä-Karjala","Taipalsaari","34.1","31.5","32.9","33.9","34.4","34.9","34.6","42.8","34.6","37.3","42.7","44.8","43.1","46.5","49.3","."
"Etelä-Pohjanmaa","Ähtäri","36.1","37.3","45","47.6","44.6","47","45.3","45.1","42.7","45.7","46.5","46.6","49.3","54.1","55.5","."
"Etelä-Pohjanmaa","Alajärvi","37.7","36.1","38.7","39.1","42.3","47.1","44.8","43.4","46.3","53.4","54.2","56.5","57.2","63.5","62.8","."
"Etelä-Pohjanmaa","Alavus","35.7","38.9","45.1","40.1","41.3","40.7","44.5","46.5","46.8","52.6","52.8","57.2","57.5","58.4","58.5","."
"Etelä-Pohjanmaa","Evijärvi","37.4","34.1","35.4","42.1","34","38.1","44.6","40.6","44.4","43.3","46","47.5","48.3","48","53.9","."
"Etelä-Pohjanmaa","Ilmajoki","25.5","25.7","27.2","26.4","28.9","28.3","31.4","31.5","30.9","36.5","35.3","37.3","38","38.1","37.8","."
"Etelä-Pohjanmaa","Isojoki","33.6","38.2","44.5","37.6","42.2","45.1","45.3","46.3","47.8","49","46.5","51.1","56.2","59.2","58.8","."
"Etelä-Pohjanmaa","Jalasjärvi","35.7","35.6","38.6","41.1","41.6","42.3","44.7","44.5","42.2","44.8","47.6","42.9","40.4","42.8","41.5","."
"Etelä-Pohjanmaa","Karijoki","36.6","36.6","37.9","51.9","54","54.7","64.3","55.8","55.2","60.1","61.6","60.6","65.1","66.4","64","."
"Etelä-Pohjanmaa","Kauhajoki","31.6","34.5","36.6","39.4","42.1","42.9","45.6","48.7","48.2","48.8","53","49","52.1","51.2","50.9","."
"Etelä-Pohjanmaa","Kauhava","34.6","35.7","38.2","36.2","41.5","40.3","42.6","41.9","44.1","47.5","45","50.2","54","52.7","55.2","."
"Etelä-Pohjanmaa","Kuortane","38.3","41.3","39.2","46.8","42.6","45.6","48","48.4","49.2","53.7","55.9","58","60.6","60.1","61.6","."
"Etelä-Pohjanmaa","Kurikka","29.2","31","32.2","31.1","31.7","33.1","38.7","40","40.5","42","51.1","55.5","57.7","63","63.4","."
"Etelä-Pohjanmaa","Lappajärvi","43","44.1","45.1","41.9","47.2","50.8","50.9","43.7","48.1","51.2","54.2","57.3","60.8","62.8","64.7","."
"Etelä-Pohjanmaa","Lapua","33.3","33.8","37.1","30.6","35.6","35.3","36.7","38.7","40.4","39.8","40.4","43.8","42.3","43.2","44.8","."
"Etelä-Pohjanmaa","Seinäjoki","40.6","43.6","43.3","41.7","42.8","44.6","47.5","47.3","48","49.3","48.9","49.3","50.1","64.8","68.6","."
"Etelä-Pohjanmaa","Soini","58.3","58.7","60.7","56.9","53","53.7","53.2","63.9","60.5","63.1","72.3","71.4","73.3","70.6","75.5","."
"Etelä-Pohjanmaa","Teuva","36.3","37.1","35.9","38.3","49.8","44.4","47.7","44.6","49.8","50.8","56.2","61.2","66.2","78.3","69.4","."
"Etelä-Pohjanmaa","Vimpeli","32.6","35.2","37.9","36.3","35.8","37.9","39.4","35.7","44.8","51","52.4","55","58.8","59.1","58.2","."
"Etelä-Savo","Heinävesi","42.6","48.7","50","49.5","51.1","47.7","52.7","58","59.5","61.5","66.5","90.4","77.4","72.7","76.9","."
"Etelä-Savo","Joroinen+Juva+Rantasalmi","32.9","37.2","37.8","36.3","38.3","39.3","44.1","45.6","47.1","58.1","57.5","62","63.4","65.5","68","."
"Etelä-Savo","Kangasniemi","33.2","34.9","36.6","34","38.1","37.7","44","43.8","45.9","48.5","50.1","53.3","55.9","52","53.6","."
"Etelä-Savo","Mäntyharju","41","42","42.6","42","45.2","50.7","53.5","52.3","50.9","53.7","57.8","60.1","61.5","63","64","."
"Etelä-Savo","Mikkeli+Pertunm.+Puum.+Hirvens.","47.2","47","42.3","43.9","44.7","43.2","43.2","44.8","46.1","44.1","47","47.6","50","47.6","57.7","."
"Etelä-Savo","Pieksämäki","36.4","38.4","41.2","42.1","43.6","43.2","45","45","51","53.7","54.6","56.6","57.8","57.8","59.2","."
"Etelä-Savo","Savonlinna","38.7","35.5","36.3","36.1","37.2","39.8","40.4","40.5","42.3","42.9","47.1","45.6","40.8","45.6","52.2","."
"Etelä-Savo","Sulkava","60.5","57.3","54.5","53.7","55.6","54.9","56.2","59.1","62","70.4","76.1","79.3","82.8","85.9","88.9","."
"Etelä-Savo","Enonkoski","41.2","43","45.9","53","54.8","56.9","57.9","56.4","58.8","64.8","76.3","81.1","80.8","81.5","90","."
"Kainuu","Hyrynsalmi","41.4","43","54.1","45.6","51.7","56.5","59.4","65.8","57.7","69.8","71.7","65.9","64.9","68.2","61.7","."
"Kainuu","Kajaani","43.5","45.9","51.3","50.8","53.6","59","54.4","53.9","56.1","59.8","59.2","56.8","59.4","62.4","61","."
"Kainuu","Kuhmo","45.3","47.5","49.7","51.1","51.9","56","55.5","56.8","57.5","59.6","59.1","58.5","67.9","67.8","66.1","."
"Kainuu","Paltamo","51","50.1","55.6","49.5","52.1","62.8","63.2","57.5","65.1","67.9","68.6","65","74.6","75.1","83.6","."
"Kainuu","Puolanka","51.7","48.7","39.6","35.4","38.1","39.9","45","42.4","43","42.7","53.9","53.3","60","66.2","65.6","."
"Kainuu","Ristijärvi","51.4","46.4","48.7","56.7","52.6","59.4","55.7","51.9","65.1","59.3","62.4","63.3","67.2","79.6","80.6","."
"Kainuu","Sotkamo","43.3","44.7","52","52.9","51.4","56.2","56.2","60.4","61.4","61.1","62.3","60.4","60.4","63","59.1","."
"Kainuu","Suomussalmi","43.3","46.2","50.4","52.2","52.6","53.8","56.6","62.7","55.5","59.9","60.9","60.6","63.2","66.4","69.4","."
"Kainuu","Vaala","45.4","44.7","50","51.2","52.1","54.7","60.1","57","64.8","62.6","63.9","66.6","75.9","75.5","72.1","."
"Kanta-Häme","Forssa","41.8","46.7","46.4","45.8","48","49","49.2","50.7","51.1","49.7","52.1","52.3","55.6","57.4","57.8","."
"Kanta-Häme","Hämeenlinna","39.9","42.9","47","44.5","44.9","46.5","48.4","48","52.4","53.1","50.8","53.1","61.9","62.5","60.8","."
"Kanta-Häme","Hattula","32.8","33.8","32.3","34.6","33.1","36.7","36.2","36.1","40.9","45.7","47.8","49.8","47.9","54.7","48.5","."
"Kanta-Häme","Hausjärvi","52.3","50.3","56.4","55.6","56.3","53.8","53.8","54.5","49.7","56.2","55.4","50.6","53.1","53.1","53.2","."
"Kanta-Häme","Humppila","36.9","38.1","38.2","38.2","45.2","40.5","40.7","37.6","40.6","42.3","47.6","53.2","47.7","56.2","57.1","."
"Kanta-Häme","Janakkala","51","47.4","51.1","46.8","48.7","47.3","50.1","48.3","45.1","50.3","51.4","50.4","52.4","54.1","53.9","."
"Kanta-Häme","Jokioinen","32.4","34.7","38.2","36.4","42.3","43.3","43.5","43.7","45","45.4","45.7","47.3","56.5","59.9","62.1","."
"Kanta-Häme","Loppi","48","48.7","50.5","47.6","45.4","46","48","51.2","54.7","53.5","51.3","50","51.3","53.4","54.2","."
"Kanta-Häme","Riihimäki","38.3","37.7","39.7","43","45.1","46","48.4","50.3","51.7","52.1","53.2","53.9","56.1","54.1","54.8","."
"Kanta-Häme","Tammela","40.9","37.9","36.4","35","35.4","37.4","37.2","40.1","40.4","43.3","46","46.8","48.7","47.8","48.5","."
"Kanta-Häme","Ypäjä","38.1","41.4","31.5","36.9","37.7","43.1","50.4","51.6","48","41.9","53.6","75.8","65.7","58.2","54.9","."
"Keski-Pohjanmaa","Halsua","60.6","46.4","52.1","69.9","57.2","65.8","58","65.9","65.3","68.7","71.3","79.6","87.1","84.1","91","."
"Keski-Pohjanmaa","Kannus","41.9","44.8","47.2","49","47.6","54.6","54.2","59.9","59","61.2","66.3","71.6","75.9","74.8","68.6","."
"Keski-Pohjanmaa","Kaustinen","36.9","34.2","35.2","39.9","40.1","39.2","40.1","39.6","51","45.5","45.4","49.2","53.9","54.4","50.8","."
"Keski-Pohjanmaa","Kokkola","50.1","49","51.5","53.7","54.5","54.8","57.8","56.2","57.9","62.2","59.7","61.1","61.8","62.2","63","."
"Keski-Pohjanmaa","Lestijärvi","72.8","80.6","84.7","84.7","90.7","97.6","96.3","96.9","85.1","82.4","92.8","93.3","98.8","99.4","102.4","."
"Keski-Pohjanmaa","Perho","36.8","40.6","37.2","36.4","37.7","40.2","49.6","45.4","45","45.7","47.8","48.9","55.6","55.9","58.6","."
"Keski-Pohjanmaa","Toholampi","42.9","43.9","46.8","45.5","52.2","56.1","50.6","47.3","49.5","51.7","59.1","59.9","70","84.9","84.6","."
"Keski-Pohjanmaa","Veteli","28.9","32.4","32.9","35.2","40.1","41.1","39.5","43.7","43.1","43.3","47.6","51","50.3","49.6","52.3","."
"Keski-Suomi","Äänekoski","33.7","34.9","35.7","36.2","37.4","37.9","39","40.5","42.6","47","50.5","47.6","47.5","46.7","47.4","."
"Keski-Suomi","Hankasalmi","43.3","42","49.1","40.6","43.5","46.2","49.4","50.5","53.4","58.5","57.4","56.7","63.1","64.5","66.3","."
"Keski-Suomi","Jämsä","37.8","37.7","42.2","41.4","45.4","46.1","44.9","47.6","51.4","56.3","49.9","51.8","52.9","52","49.1","."
"Keski-Suomi","Joutsa","36.2","39.9","43.4","44.4","45","51","65.3","59.8","71.5","65.4","66.9","69.3","73.1","74.5","75.5","."
"Keski-Suomi","Jyväskylä","51.4","52.8","58.1","57.1","53.6","57","56.6","57.9","57.8","63.3","61.9","64","61.6","62.9","65.1","."
"Keski-Suomi","Kannonkoski","52","52.7","50.6","56.4","54.5","56.9","67.8","74.8","77.2","81.6","74.6","78.2","76.9","89.4","86.6","."
"Keski-Suomi","Karstula","44.3","45.8","49.5","47.4","49.7","53.7","53.2","46.8","48.6","52.6","52","59.1","63","58.9","72.3","."
"Keski-Suomi","Keuruu","36.3","37.5","41.7","40.7","42.6","46.3","49","51.4","53.3","54.2","58.7","62.2","63.2","68.7","67.1","."
"Keski-Suomi","Kinnula","46.1","51.4","55.6","55","59.2","62.8","62.7","62.6","58.9","47.4","55.1","59.8","61.4","68.8","62.1","."
"Keski-Suomi","Kivijärvi","47.4","52","58.3","55.9","50.3","57.7","51.7","77.8","69.7","85.9","76.7","90.4","72.9","87.3","95.2","."
"Keski-Suomi","Konnevesi","35.2","37.4","41","39","43","42.6","44.9","47.4","48.2","51","55.2","57.7","61.4","64.2","61.9","."
"Keski-Suomi","Kuhmoinen","44.8","48.5","53.1","59.1","54","59.6","64","64.1","68.1","75.4","76.2","82.8","94","88.2","89.4","."
"Keski-Suomi","Kyyjärvi","40","48.2","46.9","44.8","46.9","52.1","52.2","60.3","58.3","60.6","70.1","71.2","63.3","59.5","74.1","."
"Keski-Suomi","Laukaa","37.1","39.9","43.9","43.9","48.6","45.7","46","45.7","50.1","51.5","50.8","51.9","52.2","54.1","53.1","."
"Keski-Suomi","Luhanka","48.7","47.9","55.2","61","61.9","64.6","70.4","68.3","79.8","77.4","88.6","95.9","91.2","101.8","109.2","."
"Keski-Suomi","Multia","68","62.5","84.1","80.5","62.2","63.9","60.6","56.6","53.6","58.5","62.4","82","79.1","81.5","78.2","."
"Keski-Suomi","Muurame","31.6","28.4","29","39.6","41.6","43.7","42.5","44.3","41.7","37.4","39.2","47","48.8","46.1","48.5","."
